chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	veto_low_atac_accessibility	no_rrbs_coverage	atac_mean	atac_mean_percentile	atac_mean_narrow	atac_mean_narrow_percentile	atac_variability	atac_peak_frequency	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_dense_clearance	score_stability_atac	score_low_peak_frequency	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score	final_score_percentile
NC_051808.1	5485501	5546210	60709	convergent	LOC102155069	SLC35F3	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9602263430038606	0.77	0.9551514861106872	0.7846666666666666	0.04981797099989893	3.0	4.520703399103515	0.5843254498462551	0	3211286	741582	11030	0.4726	0.0155	0.8748	0.6059	0.0901	0.4118	25.8
NC_051808.1	6820779	6870891	50112	convergent	LOC119871610	LOC111095435	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	0.9424432511149999	0.7346666666666667	0.9487266460736591	0.78	0.048717563907350596	1.0	4.576207493807944	0.734939190782095	120835	1881306	1233130	1863	0.4997	0.0193	0.8746	0.6028	0.6323	0.5257	75.1
NC_051808.1	12066504	12128157	61653	convergent	LOC111095700	SLC16A9	True	True	False	False	False	False	True	False	False	False	False		False		False	False	False	1.001789309285384	0.82	0.96599699455897	0.796	0.05217838453252289	9.0	3.446415533636499	0.5156810575673824	0	3347478	131631	69057	0.4181	0.0105	0.8788	0.6069	0.0901	0.4009	20.0
NC_051808.1	13169783	13237184	67401	convergent	CDK1	RHOBTB1	True	True	False	True	False	False	True	True	False	True	False		False		True	False	False	1.1201767350242102	0.9206666666666666	1.1239580598990124	0.8776666666666667	0.05872981851718112	37.0	6.319427074687338	0.7588018395156764	3483	2241325	33700	12954	0.2978	0.0024	0.8696	0.6022	0.1074	0.3759	7.6
NC_051808.1	14781335	14832377	51042	convergent	LOC111095463	LOC119871460	True	False	True	False	False	False	False	True	False	False	False		False		True	False	False	1.3015706107691254	0.9756666666666667	1.4902658333937329	0.9183333333333333	0.07082937879648511	51.0	3.2730242972581474	0.507173689315934	56856	637952	442444	15939	0.1702	0.0009	0.8796	0.607	0.3808	0.4077	23.4
NC_051808.1	17362530	17419663	57133	convergent	LOC100856460	LOC100686735	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	0.866599526626311	0.649	0.8695253962834677	0.7173333333333334	0.04548037486185994	1.0	4.675954421068123	0.5973306740839917	8904	1946263	2063595	3957	0.5785	0.0193	0.8743	0.6057	0.1362	0.4428	44.0
NC_051808.1	28998408	29056566	58158	convergent	LOC102155105	LOC111095511	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.3946344965347672	0.9853333333333333	1.524031868068377	0.92	0.0734270768569143	19.0	30.655821387837204	4.944116300104015	172513	5376944	81259	42941	0.1518	0.0062	0.8315	0.5326	0.7607	0.4566	48.8
NC_051808.1	36047237	36120971	73734	convergent	LOC100684047	LOC111095523	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0057110596513226	0.825	1.014146651061376	0.8286666666666667	0.05162379092458193	23.0	4.667898615979795	0.9628235448872355	59104	1234607	125965	20551	0.4313	0.0051	0.8743	0.597	0.3948	0.4605	50.5
NC_051808.1	37518160	37569466	51306	convergent	THOC3	CPLX2	True	False	False	True	False	True	True	True	False	True	False		False		True	False	False	1.1038342059502029	0.9116666666666666	1.1046116717576981	0.8726666666666667	0.0561027476805427	21.0	4.8523376654504755	0.6693918185394051	131187	225082	25653	33818	0.3406	0.0057	0.8738	0.6043	0.6646	0.4978	66.4
NC_051808.1	37795829	37851034	55205	convergent	LOC119871736	SFXN1	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	1.1331057105357925	0.9276666666666666	1.0554714082360268	0.8533333333333334	0.05844221626726487	24.0	11.91304765106546	1.4628520004112175	51569	504700	305271	3625	0.3024	0.0049	0.8582	0.5863	0.3572	0.4218	33.2
NC_051808.1	42728958	42791035	62077	convergent	LOC119871511	LOC100687995	True	False	False	False	False	False	True	False	False	True	False		False		False	False	False	0.9419450467380664	0.7333333333333333	0.9312615079641342	0.7643333333333333	0.0497469948110064	0.0	2.6511546812370446	0.2658881351413899	59996	672371	168565	51435	0.4744	0.0287	0.8827	0.6079	0.3948	0.4777	57.3
NC_051808.1	55513056	55565959	52903	convergent	LOC106558729	LOC119871746	True	True	False	False	False	False	True	True	False	True	False		False		True	False	False	1.218501884364979	0.957	1.213982319188118	0.8956666666666667	0.06306562634755372	37.0	10.179294080830976	1.6118027748334973	10493	4219046	169920	2382	0.2425	0.0024	0.8612	0.5838	0.1477	0.3675	5.2
NC_051808.1	56109927	56183571	73644	convergent	LOC111095578	GRIA1	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0408570485114792	0.865	0.9729621066411337	0.803	0.05350023192906391	13.0	5.538912931573266	1.0492654638892576	0	3611804	777162	12106	0.3914	0.0084	0.8717	0.5949	0.0901	0.3913	13.2
NC_051808.1	61210674	61263506	52832	convergent	CSPG4B	LOC119871643	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.1269751799505527	0.9246666666666666	1.0515082000335059	0.852	0.059342067714463924	31.0	5.612143498068017	0.7463389784593155	87090	1219976	1427710	31768	0.2889	0.0034	0.8714	0.6025	0.516	0.4564	48.6
NC_051808.1	64067111	64119158	52047	convergent	LOC102157144	LOC100687852	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9314903890430526	0.713	0.9523964283148447	0.783	0.04976620682487594	0.0	3.068899073139229	0.5664976101703947	368134	4076020	1326175	22185	0.4737	0.0287	0.8805	0.6062	0.9416	0.5861	94.4
NC_051808.1	65949583	66022083	72500	convergent	LOC100687240	MRPS30	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	0.9923136648265796	0.812	0.9421345636208853	0.7746666666666666	0.05221857897070633	66.0	4.589858559886441	0.5395291787224701	0	5968719	1244226	9474	0.4172	0.0001	0.8746	0.6066	0.0901	0.3977	17.4
NC_051808.1	76456036	76509373	53337	convergent	DROSHA	CDH6	True	True	False	False	False	True	False	True	False	False	False		False		False	False	False	1.032830879580103	0.857	1.0184337198257447	0.8306666666666667	0.05265570671667628	13.0	6.256114670768966	0.6234010764690736	0	132659	639037	11687	0.4088	0.0084	0.8698	0.6052	0.0901	0.3965	15.8
NC_051808.1	77033647	77089414	55767	convergent	TMEM125	LOC102156164	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9534080702586114	0.7563333333333333	0.9516476272741955	0.7826666666666666	0.05027453317162228	0.0	1.6246835154681614	0.10035651248581957	561530	711485	1217863	2937	0.4617	0.0287	0.8901	0.608	0.9807	0.5938	97.0
NC_051808.1	81940968	82004288	63320	convergent	LOC100685641	LOC479379	False	False	False	False	False	False	False	False	False	False	False	34.07	False	4.810820000000001	False	False	False	0.9226745871348893	0.6983333333333334	0.9237236798882484	0.7563333333333333	0.04899555663292873	1.0	3.800591323626117	0.5880011967840432	52372	5622583	5024402	64427	0.4919	0.0193	0.8774	0.6059	0.3619	0.4713	54.7
NC_051808.1	83742031	83797839	55808	convergent	CDH12	LOC111095663	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9367709103843556	0.7216666666666667	0.9626523963610333	0.7913333333333333	0.05001805949874653	0.0	7.169027109518633	1.0483348562189132	244935	7419890	3227095	12344	0.4681	0.0287	0.8675	0.5949	0.8627	0.5644	88.9
NC_051808.1	87580819	87638502	57683	convergent	ZNF622	LOC106558684	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	1.2358260752144876	0.961	1.225844912258784	0.897	0.064976121882	6.0	40.34021601801059	4.912010975969497	0	11259615	45463	16622	0.2219	0.0125	0.8161	0.5332	0.0901	0.3348	0.9
NC_051809.1	2620428	2685222	64794	convergent	OPCML	NTM	True	False	False	True	False	False	True	True	False	True	False		False		False	False	False	1.0678476442005633	0.8866666666666667	1.0433507333318393	0.8493333333333334	0.053743094112485464	1.0	7.8874222423921525	1.4841730258876142	347175	1683777	32397	37204	0.3865	0.0193	0.8659	0.586	0.9331	0.5582	85.9
NC_051809.1	6345291	6400601	55310	convergent	LOC111096091	LOC119871991	True	False	False	False	False	False	True	True	False	False	False		False		False	False	False	0.9600231746620592	0.7693333333333333	0.9864827699740727	0.813	0.0507217262877569	1.0	3.706821405901723	0.2273360777923646	47946	5403898	229522	5403	0.4522	0.0193	0.8778	0.608	0.3378	0.459	49.5
NC_051809.1	14259045	14318214	59169	convergent	LOC119871999	LOC111095807	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.2171555804888778	0.9566666666666667	1.1785227908531823	0.8886666666666667	0.06289727646982098	7.0	15.69227033647254	2.635800519512449	36371	2076373	158811	17739	0.2446	0.0117	0.8526	0.5702	0.2835	0.3925	13.9
NC_051809.1	18909987	18974471	64484	convergent	C5H11orf71	LOC119881489	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	0.8115565397021426	0.6266666666666667	0.9701702142556509	0.801	0.04055474729712563	0.0	4.365959459269467	0.6244796046726521	7771	2577202	105143	2303	0.6999	0.0287	0.8753	0.6052	0.1304	0.4679	53.4
NC_051809.1	23237689	23310760	73071	convergent	LOC111095852	C5H11orf87	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9480891668378841	0.747	0.8996772004644076	0.7343333333333333	0.04907136933626103	1.0	2.34495529053684	0.39567181742886276	75776	1689813	439216	3333	0.4904	0.0193	0.8845	0.6078	0.4663	0.4937	64.6
NC_051809.1	27846016	27902436	56420	convergent	LOC100687870	LOC111095862	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9497322179374438	0.752	0.85671725183328	0.71	0.04880353504710202	1.0	2.9151741160076567	0.5042968477411236	174226	3229833	1155416	8319	0.4973	0.0193	0.8813	0.607	0.7647	0.5539	83.9
NC_051809.1	32059172	32124240	65068	convergent	LOC119871841	LOC111095870	True	False	False	False	False	True	True	True	False	False	False		False		True	False	False	1.0666271056877985	0.886	1.0525204379320146	0.8523333333333334	0.05463818273755171	11.0	5.350851988914548	0.8736233065713073	41706	58754	64290	6901	0.3684	0.0094	0.8722	0.5993	0.3082	0.4315	38.8
NC_051809.1	47160487	47220638	60151	convergent	LOC119871875	LOC100684598	True	False	False	False	False	False	True	True	False	False	False		False		False	False	False	0.9410534111483537	0.731	0.9383145695050557	0.7696666666666667	0.05013768769643396	0.0	2.3783021772910318	0.4478861154117104	165562	1823108	191651	17552	0.4652	0.0287	0.8843	0.6075	0.7467	0.5465	82.0
NC_051809.1	67812010	67871860	59850	convergent	ZDHHC7	LOC119872032	True	False	True	False	False	False	True	True	False	True	False		False		True	False	False	1.270748398402912	0.97	1.2239800508936247	0.8963333333333333	0.06666684155193951	52.0	23.041045724604945	3.5735698807407617	133065	5129843	127019	3376	0.2051	0.0008	0.8426	0.5569	0.6703	0.4551	48.2
NC_051809.1	89203545	89257435	53890	convergent	LOC111096139	LOC119874957	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	1.0455247453423062	0.8696666666666667	1.0627304121891656	0.8573333333333333	0.051575446084050486	1.0	5.1507150255576155	1.1374759795363174	0	6629093	4673146	6738	0.4326	0.0193	0.8728	0.5928	0.0901	0.4015	20.6
NC_051810.1	3695908	3765879	69971	convergent	LOC119881536	LOC119872440	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.03136840616287	0.855	0.989486674753825	0.8146666666666667	0.05247078554215532	10.0	6.368000801825251	0.9598071910245572	144107	1995233	1812851	1975	0.4121	0.0099	0.8695	0.5971	0.6989	0.5175	73.5
NC_051810.1	15694571	15754185	59614	convergent	LOC102156691	LOC111096491	True	True	False	False	False	True	True	True	False	False	False		False		True	False	False	1.292120877744138	0.974	1.3093521007696787	0.9053333333333333	0.06646700241404437	3.0	28.467870393368695	4.710486333760546	0	223852	115206	20039	0.2069	0.0155	0.8336	0.5371	0.0901	0.3366	1.1
NC_051810.1	43751242	43809227	57985	convergent	SLC25A24	LOC102151888	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.0778058431561828	0.8963333333333333	1.0442507247447967	0.8496666666666667	0.055736239861768386	25.0	7.14626348642878	0.8716673342184261	55234	1177299	143623	23040	0.3472	0.0046	0.8675	0.5993	0.376	0.4389	42.5
NC_051810.1	46489068	46547626	58558	convergent	LOC111096509	LOC100683041	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9535144190347082	0.7563333333333333	0.9747899361054104	0.8056666666666666	0.049535472431060254	2.0	2.1186657423905184	0.41173281480190826	93347	3915412	1245341	11043	0.4793	0.017	0.886	0.6077	0.5388	0.5058	69.2
NC_051810.1	50658944	50727578	68634	convergent	LOC119872255	LOC119872463	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9507569725869565	0.7536666666666667	0.9595694306810697	0.789	0.05073296133294529	1.0	2.6986192554177344	0.4522690418697281	0	1302385	1453352	5650	0.4519	0.0193	0.8824	0.6075	0.0901	0.4103	24.5
NC_051810.1	54055016	54116812	61796	convergent	LOC111096377	LOC111096379	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	0.9836125293500674	0.799	0.9890332032521566	0.8143333333333334	0.051900904827885876	0.0	5.456957694590489	1.080686856658737	64086	2090247	522336	18449	0.4245	0.0287	0.8719	0.5941	0.4176	0.4674	52.9
NC_051810.1	54185278	54253504	68226	convergent	LOC119872358	LOC119876387	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	0.9648739581318279	0.776	0.9659498034954072	0.7956666666666666	0.05082460173229861	1.0	6.375939610793996	0.9100403446860572	44391	2223724	388859	47129	0.4498	0.0193	0.8695	0.5984	0.323	0.452	46.4
NC_051810.1	65303098	65376045	72947	convergent	LOC102151889	LOC111096431	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.949612903523938	0.7516666666666667	0.9471557251056036	0.7776666666666666	0.05044774037117015	1.0	3.899501426550027	0.6585529820844984	535429	10132612	2352656	6825	0.4581	0.0193	0.877	0.6045	0.9781	0.5874	94.6
NC_051810.1	68878658	68947141	68483	convergent	LOC102152406	IFI44	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9650402227577969	0.777	0.9370032876809437	0.7683333333333333	0.05079013712828607	17.0	4.8670923509632615	0.6833958338066997	0	6559284	550948	5168	0.4505	0.0069	0.8737	0.604	0.0901	0.405	22.1
NC_051811.1	2494758	2545521	50763	convergent	LOC111096593	LOC102152591	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.0508198038242886	0.871	1.0182023422598838	0.8303333333333334	0.054028589411801796	1.0	30.01788716149467	3.549372032427417	179861	1188895	52583	11458	0.3799	0.0193	0.8322	0.5573	0.7737	0.5125	72.0
NC_051811.1	11479120	11529669	50549	convergent	LOC111096626	LOC610143	True	False	False	False	False	False	True	True	False	True	False		False		False	False	False	1.028032949988995	0.8523333333333334	1.0417602420806884	0.8483333333333334	0.05254924624889662	1.0	5.992311669142103	0.9576650363750193	320606	3713246	201255	28037	0.4106	0.0193	0.8705	0.5971	0.9197	0.5634	88.3
NC_051811.1	15394995	15461327	66332	convergent	LOC106559021	GLUL	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0954049968015473	0.9056666666666666	1.1436640276590984	0.882	0.057296617515621026	32.0	5.185278728748622	0.6965759830598252	71839	6916475	534647	7824	0.3207	0.0032	0.8727	0.6037	0.4487	0.4498	45.8
NC_051811.1	17217706	17274511	56805	convergent	LOC119876429	LOC119872513	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	1.0155927872471002	0.8343333333333334	1.0564066290736198	0.854	0.05254072970467911	3.0	6.332804390638957	0.8037150694133931	103892	5098528	528189	25228	0.4108	0.0155	0.8696	0.6011	0.5756	0.4945	65.3
NC_051811.1	22837876	22907514	69638	convergent	LOC100688557	LOC111096880	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9651169546730747	0.7773333333333333	0.9174263131936392	0.7493333333333333	0.05021871610399909	11.0	3.1673540372809734	0.5841200574862494	27305	415374	1217408	5449	0.4629	0.0094	0.8801	0.6059	0.2376	0.4392	42.7
NC_051811.1	25873242	25943461	70219	convergent	LOC111096660	LOC111096885	False	False	False	False	False	False	False	False	False	False	False	43.31	False	4.32162	False	False	False	0.9825520626481389	0.7983333333333333	0.9866992817560833	0.8133333333333334	0.05150004002780298	13.0	3.483730799404851	0.3803283856115161	91649	655224	407488	79754	0.435	0.0084	0.8787	0.6078	0.5313	0.4922	63.3
NC_051811.1	35118386	35179633	61247	convergent	LOC111096699	LOC111096700	True	True	False	False	False	False	False	True	False	True	False		False		True	False	False	1.111955079236621	0.9166666666666666	1.071435432656606	0.859	0.058381744714666804	17.0	10.252320891223015	1.4173085969999037	991	676467	379963	14394	0.3032	0.0069	0.8611	0.5871	0.0901	0.3697	6.1
NC_051811.1	48020921	48077046	56125	convergent	RIT2	LOC119872716	False	False	False	False	False	False	False	False	False	False	False	29.76	False	4.31966	False	False	False	0.935736337789183	0.718	0.9333694957097372	0.766	0.04975730378378208	0.0	2.1397469619467313	0.40703499307299107	501017	5140880	1719514	70063	0.474	0.0287	0.8858	0.6077	0.9739	0.594	97.2
NC_051811.1	54309697	54360521	50824	convergent	LOC106559055	GALNT1	True	True	False	False	False	True	False	False	False	True	False		False		False	False	False	1.0704855562848241	0.8886666666666667	1.022185462061564	0.8343333333333334	0.05620184412418708	26.0	7.996938796646257	1.3166526039052229	10109	102265	327506	76093	0.3387	0.0044	0.8657	0.5891	0.1477	0.3891	12.6
NC_051811.1	57734073	57792841	58768	convergent	TRAPPC8	LOC111096784	True	True	False	False	False	False	True	True	False	True	False		False		True	False	False	1.0024594303126861	0.822	1.0316053736726443	0.8413333333333334	0.05126321153141025	9.0	4.585112625653482	0.4960313447671866	13457	3530613	203636	41712	0.4401	0.0105	0.8746	0.6071	0.1644	0.4193	30.6
NC_051811.1	59853346	59916313	62967	convergent	NA	LOC612611	True	False	False	False	False	False	False	True	False	True	False		False		False	False	False	0.90027424238313	0.6673333333333333	0.9339958035389584	0.766	0.04687017555435943	1.0	2.75052928367789	0.38959258166270255	84829	5651985	870069	100	0.5445	0.0193	0.8821	0.6078	0.5036	0.5115	71.4
NC_051811.1	62263653	62326266	62613	convergent	KCTD1	TAF4B	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.070080665674913	0.8886666666666667	1.0689801383137703	0.859	0.05512998713864312	6.0	9.008491866611099	1.322066038029582	80041	3984184	245549	13807	0.359	0.0125	0.8634	0.5889	0.487	0.4622	50.8
NC_051811.1	69954234	70019343	65109	convergent	MYL12B	LOC106559068	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	0.9956269725710367	0.8153333333333334	0.9633538655916851	0.792	0.05158150281014812	25.0	7.21480492267527	0.9574170353889084	36788	3704499	112030	21136	0.4323	0.0046	0.8674	0.5972	0.2835	0.437	41.4
NC_051811.1	72146896	72199972	53076	convergent	LOC111096813	LOC111096814	True	False	False	False	False	False	True	True	False	True	False		False		False	False	False	1.0225148973122493	0.8463333333333334	0.9860100919008254	0.813	0.053272613210450445	1.0	7.381869578996959	1.0245656348774785	126566	5891145	113888	19373	0.3953	0.0193	0.867	0.5955	0.6506	0.5055	69.0
NC_051811.1	77245369	77305935	60566	convergent	NA	LOC111096922	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9424687067394713	0.735	0.9184560666044553	0.75	0.04934745917115002	1.0	2.4506878190241475	0.23226826738012316	124348	10993363	945218	100	0.4839	0.0193	0.8838	0.608	0.6447	0.5279	75.7
NC_051811.1	80890788	80943582	52794	convergent	MAPK4	LOC100688129	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0248573189096897	0.8493333333333334	0.9626232800165812	0.7913333333333333	0.05317886735103621	1.0	10.752986039789636	1.8863665774108016	92185	14634896	268243	24106	0.3971	0.0193	0.8602	0.5798	0.535	0.4783	57.7
NC_051812.1	52431	118675	66244	convergent	LOC119872972	LOC119872973	True	False	False	False	False	False	True	True	False	False	False		False		False	True	False	0.4710572117723383	0.45166666666666666	0.17461474691828094	0.24633333333333332	0.023363891335081762	1.0	3.807651030899914	0.4463916678607688	864447	3659103	214085	574	0.9363	0.0193	0.8774	0.6075	0.9931	0.6867	100.0
NC_051812.1	788172	845815	57643	convergent	LOC490585	OR4L1	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9306640407632912	0.7126666666666667	0.9758401309569678	0.8076666666666666	0.0486069337171285	1.0	3.9561283259742064	0.8650324609887998	133007	2927663	321290	34939	0.5026	0.0193	0.8768	0.5995	0.6703	0.5337	76.8
NC_051812.1	5172690	5239184	66494	convergent	LOC119873153	LOC608162	True	True	False	False	False	False	False	False	False	False	False		False		False	False	False	0.9750568458190426	0.7906666666666666	0.978240550772349	0.8086666666666666	0.05067330146228257	1.0	5.263412334837425	0.7916155187476136	0	1433014	785611	184419	0.4534	0.0193	0.8725	0.6014	0.0901	0.4074	23.0
NC_051812.1	5534832	5600865	66033	convergent	LOC111097200	LOC119872981	True	False	False	False	False	False	False	False	False	False	False	37.48	True	7.07716	False	False	False	0.9588478304487604	0.7663333333333333	0.9622663079301516	0.7906666666666666	0.05024771787322219	1.0	3.2818425611062367	0.31347240924836234	342848	1794925	660041	57388	0.4623	0.0193	0.8796	0.6079	0.9309	0.58	93.3
NC_051812.1	6167980	6227889	59909	convergent	LOC119872983	NOVA1	True	False	False	True	False	False	True	False	False	True	False		False		True	False	False	0.9410865856394833	0.7313333333333333	0.9784521315256755	0.8086666666666666	0.04941191973527337	1.0	2.843194323496503	0.4609827005905029	97934	2425011	29955	150437	0.482	0.0193	0.8816	0.6074	0.554	0.5089	70.3
NC_051812.1	8640791	8694857	54066	convergent	LOC111096975	LOC102154002	True	False	False	False	False	False	True	True	False	True	False		False		False	False	False	0.9477625662487407	0.7453333333333333	0.9753398163000744	0.807	0.05005021623176695	1.0	2.6300671437189838	0.5346690732859389	467824	4894901	286462	44373	0.4672	0.0193	0.8828	0.6067	0.9682	0.5888	95.2
NC_051812.1	10610167	10663583	53416	convergent	LOC102155565	HEATR5A	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0295125220293981	0.8536666666666667	0.9814047681371372	0.8106666666666666	0.053254332746576725	16.0	9.645371959937531	1.2684705952829105	11875	6863952	655989	562	0.3956	0.0073	0.8623	0.59	0.1534	0.4017	20.8
NC_051812.1	12903397	12977974	74577	convergent	NPAS3	EGLN3	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.077741877823636	0.8963333333333333	1.1335433379173279	0.88	0.05492597375038264	19.0	9.525873867467748	1.1661381282514256	15685	9167762	1176284	45244	0.3626	0.0062	0.8625	0.5922	0.1749	0.3997	18.9
NC_051812.1	21931015	21992476	61461	convergent	LOC100684096	LOC119872816	True	False	False	False	False	False	False	False	False	False	False	39.5	False	4.96006	True	True	False	0.49789876864045324	0.4816666666666667	0.20151129219929376	0.27166666666666667	0.02039727102887836	0.0	1.274803274281488	0.13969343516627386	186745	11137336	4445874	114580	0.9473	0.0287	0.8943	0.608	0.7862	0.6529	98.9
NC_051812.1	27735066	27803631	68565	convergent	TMX1	LOC111097216	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0033214734748634	0.822	1.0688772572636605	0.859	0.05131005446152351	5.0	3.7244223602444664	0.38509197670262124	5652	5329733	165300	14233	0.4391	0.0133	0.8777	0.6078	0.1189	0.4114	25.6
NC_051812.1	28781785	28839966	58181	convergent	LOC111097218	TXNDC16	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	0.8808465204380789	0.6533333333333333	0.997782872390747	0.819	0.04459163734868178	5.0	3.191763978470026	0.3257439133610688	39125	4288206	143186	7405	0.6006	0.0133	0.88	0.6079	0.2984	0.48	58.1
NC_051812.1	36266983	36333691	66708	convergent	SLC38A6	LOC111097065	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0376754240530204	0.861	1.0805789383252462	0.8623333333333333	0.05340316161757258	2.0	9.978978805954378	1.3229960755736927	50337	3201231	105822	22885	0.3929	0.017	0.8616	0.5889	0.3524	0.4426	43.8
NC_051812.1	54071776	54128751	56975	convergent	LOC102153790	LOC119873009	True	True	False	False	False	True	True	True	False	False	False		False		True	False	False	1.0541642246689906	0.8736666666666667	1.0084874612808228	0.8263333333333334	0.0548724586379202	23.0	4.104846294573297	0.6494985609668338	0	45791	45135	16648	0.3635	0.0051	0.8763	0.6047	0.0901	0.3879	11.7
NC_051812.1	55781421	55851186	69765	convergent	LOC111097231	LOC106559104	True	False	False	False	False	False	False	True	False	True	False		False		False	False	False	0.8686931424152436	0.6493333333333333	0.8547953398386636	0.7093333333333334	0.04652893112615905	1.0	3.3200604218462058	0.56804718569911	266303	1761831	1674173	22161	0.5526	0.0193	0.8794	0.6062	0.8832	0.5881	95.0
NC_051812.1	58732540	58805036	72496	convergent	LOC119873149	LOC119873016	True	False	False	False	False	False	False	False	False	False	False	28.09	False	4.7614600000000005	True	False	False	0.9300959106028531	0.7106666666666667	0.878430764134725	0.7216666666666667	0.048586563229202386	1.0	2.72435755587474	0.3931153835003612	268788	4714316	1177972	182418	0.5031	0.0193	0.8823	0.6078	0.8848	0.5795	92.8
NC_051812.1	61680835	61737486	56651	convergent	CALM1	LOC111097143	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.240122789196176	0.9626666666666667	1.2229750180403391	0.896	0.0649948360351756	33.0	18.553146802335583	2.6174285053794453	0	7000889	718757	8668	0.2217	0.003	0.8478	0.5704	0.0901	0.3466	1.7
NC_051812.1	67788194	67843405	55211	convergent	LOC119873039	LOC111097248	True	False	False	False	False	False	True	False	False	True	False		False		False	False	False	1.0623576606780936	0.8823333333333333	1.1051339794158936	0.8733333333333333	0.053971148139528656	1.0	9.945410919998546	1.3320367217957487	40799	894250	93499	65893	0.3813	0.0193	0.8617	0.5888	0.3033	0.4309	38.2
NC_051812.1	70725627	70776316	50689	convergent	LOC106559203	LOC119881569	True	False	True	False	False	True	True	True	False	True	False		False		True	False	False	1.4051626800594756	0.9863333333333333	1.338884165708224	0.9063333333333333	0.07447764881061686	57.0	19.514301223838157	3.3845757820662006	149029	183282	141034	2548	0.145	0.0005	0.8467	0.5598	0.7113	0.4527	47.1
NC_051812.1	71254791	71309046	54255	convergent	TNFAIP2	LOC480441	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.2294878819005424	0.9583333333333334	1.232397024623553	0.8973333333333333	0.06408076924393041	17.0	17.666597117773122	3.055699000061439	156918	347640	214245	1430	0.231	0.0069	0.8488	0.5646	0.7272	0.4757	56.0
NC_051813.1	8313493	8376479	62986	convergent	LOC102156472	LOC102156400	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0934407960149835	0.904	1.0882151015440624	0.8666666666666667	0.05497443663243269	1.0	15.930473375707397	2.6123503224238034	0	2169826	134962	8002	0.3616	0.0193	0.8523	0.5705	0.0901	0.3788	8.9
NC_051813.1	8406782	8479948	73166	convergent	LOC119873409	SOX9	True	True	False	True	False	False	True	True	False	False	False		False		True	False	False	1.0779657663530546	0.8966666666666666	1.0921644008080167	0.869	0.05456473949241771	1.0	14.63801287630349	2.5282277276162892	0	2071447	36583	8673	0.3697	0.0193	0.854	0.5716	0.0901	0.3809	9.3
