chrom	start	end	length	orientation	left_gene	left_strand	right_gene	right_strand
NC_051829.1	40554664	40610407	55743	convergent	AGFG1	+	LOC486150	-
NC_051829.1	45854728	45924770	70042	convergent	LOC119866032	+	LOC119865861	-
NC_051829.1	46659216	46733469	74253	convergent	LOC111092437	+	LOC119865863	-
NC_051830.1	3084750	3142913	58163	convergent	SLC15A4	+	TMEM132C	-
NC_051830.1	4496506	4546999	50493	convergent	LOC119866086	+	LOC477441	-
NC_051830.1	12974593	13028567	53974	convergent	LOC119866092	+	MED13L	-
NC_051830.1	17193803	17254161	60358	convergent	LOC119866085	+	LOC119866121	-
NC_051830.1	20964282	21018696	54414	convergent	LOC119866095	+	LOC119866096	-
NC_051830.1	37136455	37205993	69538	convergent	LOC106557850	+	LOC102154823	-
NC_051831.1	11296029	11362267	66238	convergent	LOC106557871	+	LOC111092904	-
NC_051831.1	12006551	12065044	58493	convergent	GXYLT1	+	LOC111092835	-
NC_051831.1	13274723	13345552	70829	convergent	NA	+	MUC19	-
NC_051831.1	17823426	17886691	63265	convergent	IPO8	+	LOC100685338	-
NC_051831.1	32573520	32640058	66538	convergent	LOC102155441	+	LOC100685365	-
NC_051831.1	39677324	39739751	62427	convergent	ANO2	+	NTF3	-
NC_051831.1	40299441	40358999	59558	convergent	LOC119866433	+	GALNT8	-
NC_051832.1	2510899	2563279	52380	convergent	NA	+	OR6D5	-
NC_051832.1	6155210	6215233	60023	convergent	LOC119866635	+	LOC106557967	-
NC_051832.1	24424569	24481957	57388	convergent	LOC100855860	+	LOC111093048	-
NC_051832.1	25443005	25493730	50725	convergent	ADRB1	+	CCDC186	-
NC_051832.1	34214445	34267922	53477	convergent	LOC111093045	+	LOC119866531	-
NC_051833.1	357464	431756	74292	convergent	UBE2V2	+	LOC100856084	-
NC_051833.1	1669770	1738756	68986	convergent	LOC100684688	+	LOC119866769	-
NC_051833.1	20829395	20898312	68917	convergent	LOC119866675	+	MSC	-
NC_051833.1	21906082	21964104	58022	convergent	LOC111093217	+	LOC119866789	-
NC_051833.1	23112498	23172320	59822	convergent	LOC111093212	+	LOC111093135	-
NC_051833.1	23509733	23568950	59217	convergent	CRISPLD1	+	LOC100688946	-
NC_051833.1	28263136	28333785	70649	convergent	LOC106558008	+	PAG1	-
NC_051833.1	28623707	28681799	58092	convergent	FABP5	+	LOC119866803	-
NC_051833.1	38580004	38634159	54155	convergent	LOC100685448	+	LOC119866804	-
NC_051834.1	2536913	2592033	55120	convergent	LOC111093357	+	GJD2	-
NC_051834.1	4478505	4544211	65706	convergent	CDIN1	+	MEIS2	-
NC_051834.1	11061036	11119847	58811	convergent	LOC119866880	+	LOC111093393	-
NC_051834.1	24994850	25055410	60560	convergent	FOXB1	+	LOC119866903	-
NC_051834.1	32644888	32717232	72344	convergent	LOC111093320	+	LOC100684041	-
NC_051834.1	34669412	34723012	53600	convergent	LOC102154511	+	LARP6	-
NC_051834.1	38942658	39000282	57624	convergent	LINGO1	+	LOC119866844	-
NC_051835.1	955347	1016678	61331	convergent	LOC100688275	+	LOC102152193	-
NC_051835.1	13106261	13156978	50717	convergent	LOC119867042	+	LOC111093424	-
NC_051835.1	18249632	18323889	74257	convergent	LOC100685420	+	LOC100685577	-
NC_051835.1	23436373	23508916	72543	convergent	LOC111093569	+	LOC119867012	-
NC_051835.1	33017236	33069006	51770	convergent	LOC102152343	+	LOC111093484	-
NC_051835.1	33785714	33837005	51291	convergent	LOC119867070	+	LOC111093482	-
NC_051835.1	36406001	36461046	55045	convergent	SLC37A1	+	LOC119867027	-
NC_051836.1	3698661	3752870	54209	convergent	LOC111093630	+	GK2	-
NC_051836.1	11276866	11345764	68898	convergent	MEPE	+	LOC111093643	-
NC_051836.1	27013911	27071204	57293	convergent	NPNT	+	TBCK	-
NC_051837.1	574972	634483	59511	convergent	LOC111093784	+	LOC111093791	-
NC_051837.1	7790832	7842018	51186	convergent	LOC111093705	+	IMPG2	-
NC_051837.1	8568536	8621477	52941	convergent	LOC119867284	+	LOC111093752	-
NC_051837.1	11353405	11418044	64639	convergent	ALCAM	+	CBLB	-
NC_051837.1	20017414	20079909	62495	convergent	GAP43	+	LSAMP	-
NC_051837.1	31269207	31329671	60464	convergent	LOC106558167	+	FAM43A	-
NC_051838.1	7080793	7147581	66788	convergent	NSUN2	+	UBE2QL1	-
NC_051838.1	10054548	10126362	71814	convergent	LOC111093922	+	LOC119867475	-
NC_051838.1	19004008	19067846	63838	convergent	LOC119867441	+	CRYGS	-
NC_051838.1	19321861	19376696	54835	convergent	ADIPOQ	+	LOC119867406	-
NC_051838.1	33370196	33420674	50478	convergent	MIR551B	+	LOC119867412	-
NC_051838.1	33641835	33705242	63407	convergent	LOC119867455	+	LOC102151967	-
NC_051838.1	34380069	34430694	50625	convergent	LOC102152454	+	LOC111093889	-
NC_051838.1	36725342	36775647	50305	convergent	FNDC3B	+	GHSR	-
NC_051838.1	40621835	40683716	61881	convergent	LOC111093930	+	TBL1XR1	-
NC_051839.1	1643004	1708560	65556	convergent	LOC119867596	+	LOC119867597	-
NC_051839.1	1805405	1856208	50803	convergent	FOXF2	+	LOC100684996	-
NC_051839.1	11518999	11569382	50383	convergent	LOC111093992	+	LOC111094013	-
NC_051839.1	18052245	18123443	71198	convergent	LOC111093969	+	LOC102156827	-
NC_051839.1	18480986	18533175	52189	convergent	LOC111094025	+	LOC111094007	-
NC_051840.1	1166863	1219794	52931	convergent	GALNT13	+	LOC106558288	-
NC_051840.1	7616013	7676372	60359	convergent	LOC111094266	+	GCG	-
NC_051840.1	8466112	8532234	66122	convergent	LOC100688550	+	LOC119867785	-
NC_051840.1	14845639	14901149	55510	convergent	UBR3	+	LOC111094278	-
NC_051840.1	16124607	16177018	52411	convergent	CYBRD1	+	LOC111094279	-
NC_051840.1	16788107	16853124	65017	convergent	LOC111094247	+	LOC119867830	-
NC_051840.1	24054229	24128740	74511	convergent	LOC119867869	+	LOC111094258	-
NC_051840.1	24296513	24361259	64746	convergent	LOC111094259	+	LOC119867786	-
NC_051840.1	26520111	26586822	66711	convergent	LOC111094249	+	LOC102155713	-
NC_051841.1	2245776	2303016	57240	convergent	LOC119867916	+	TMEFF2	-
NC_051841.1	7533022	7602083	69061	convergent	LOC100686361	+	LOC100686866	-
NC_051841.1	12473128	12532864	59736	convergent	CD28	+	LOC100856338	-
NC_051841.1	27629161	27690392	61231	convergent	LOC119867980	+	EPHA4	-
NC_051841.1	28495545	28545686	50141	convergent	LOC106558331	+	LOC119867969	-
NC_051841.1	29390284	29459285	69001	convergent	LOC111094442	+	SCG2	-
NC_051841.1	29837431	29901354	63923	convergent	LOC111094360	+	LOC119867910	-
NC_051842.1	3541738	3613722	71984	convergent	LOC111094553	+	LOC111094552	-
NC_051842.1	6148634	6217613	68979	convergent	LOC119868013	+	RGS2	-
NC_051842.1	8585823	8643867	58044	convergent	BRINP3	+	LOC119868094	-
NC_051842.1	16412131	16486695	74564	convergent	LOC111094583	+	LOC111094562	-
NC_051842.1	19592201	19658874	66673	convergent	LOC111094531	+	NUF2	-
NC_051842.1	22834825	22886249	51424	convergent	OR10J2	+	ACKR1	-
NC_051843.1	6868917	6934242	65325	convergent	CLCN4	+	LOC119868598	-
NC_051843.1	8354252	8409529	55277	convergent	LOC106558419	+	LOC119868687	-
NC_051843.1	10578732	10643009	64277	convergent	LOC480844	+	FANCB	-
NC_051843.1	15197385	15269910	72525	convergent	LOC119868379	+	LOC119868161	-
NC_051843.1	26196588	26269373	72785	convergent	TRNAE-CUC-22	+	LOC119868188	-
NC_051843.1	32334636	32387595	52959	convergent	LOC612281	+	LOC111094893	-
NC_051843.1	34617972	34669640	51668	convergent	LOC119868190	+	BCOR	-
NC_051843.1	35941631	35992808	51177	convergent	LOC111094865	+	CASK	-
NC_051843.1	50115742	50188659	72917	convergent	LOC119868203	+	WAS	-
NC_051843.1	51534278	51599514	65236	convergent	LOC100686592	+	LOC491922	-
NC_051843.1	56733328	56786162	52834	convergent	TAF1	+	LOC100688354	-
NC_051843.1	59813343	59874197	60854	convergent	UPRT	+	ZDHHC15	-
NC_051843.1	69851587	69907041	55454	convergent	PABPC5	+	LOC111094733	-
NC_051843.1	74667098	74718660	51562	convergent	LOC119868578	+	LOC119868214	-
NC_051843.1	77845859	77904191	58332	convergent	BHLHB9	+	LOC119868603	-
NC_051843.1	79168554	79226339	57785	convergent	FAM199X	+	ESX1	-
NC_051843.1	82817447	82882230	64783	convergent	PRPS1	+	TSC22D3	-
NC_051843.1	90957857	91025361	67504	convergent	LOC119868706	+	LOC111094871	-
NC_051843.1	97127995	97179954	51959	convergent	XIAP	+	LOC119868511	-
NC_051843.1	99485997	99542726	56729	convergent	LOC492115	+	LOC609540	-
NC_051843.1	104147730	104215864	68134	convergent	LOC119868710	+	IGSF1	-
NC_051843.1	105250253	105306545	56292	convergent	LOC119868568	+	LOC111094836	-
NC_051843.1	105886803	105957615	70812	convergent	LOC111094882	+	GPC4	-
NC_051843.1	116212579	116266672	54093	convergent	LOC100686375	+	LOC100856426	-
NC_051843.1	122201824	122251894	50070	convergent	LOC100686136	+	LOC492221	-
NC_051843.1	122735338	122788464	53126	convergent	LOC612447	+	LOC119868662	-
NC_051843.1	122883327	122939331	56004	convergent	LOC119868539	+	CETN2	-
